arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_04,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14,capacity_15,capacity_16,capacity_17,capacity_18,capacity_19,capacity_20
1072,superSource09,0,0,0,0,0,0,0,0,0,323464,0,0,0,0,0,0,0,0,0,0,323464
1072,1071,768424561,168921684,2540133441,22429526,1855,494800609,178135698,140357591,40264649,450446802,8808499,80796886,6699331,95446913,0,108815211,0,4255974,824057201,2257426,3175166802
1072,1073,768424561,168921684,2540133441,22429526,1855,494800609,178135698,140357591,40264649,450446802,8808499,80796886,6699331,95446913,0,108815211,0,4255974,824057201,2257426,3175166802
1072,superSource08,0,0,0,0,0,0,0,0,113348,0,0,0,0,0,0,0,0,0,0,0,113348
1073,superSource10,0,0,0,0,0,0,0,0,0,0,656634,0,0,0,0,0,0,0,0,0,656634
1073,superSink06,0,0,0,0,0,0,1747804,0,0,0,0,0,0,0,0,0,0,0,0,0,1747804
1073,superSink05,0,0,0,0,0,899680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899680
1073,superSource13,0,0,0,0,0,0,0,0,0,0,0,0,0,41319,0,0,0,0,0,0,41319
1073,superSink03,0,0,0,785914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785914
1073,superSource15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622250,0,0,0,0,1622250
1073,superSink12,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,80
1073,superSource19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244545,244545
1073,superSource08,0,0,0,0,0,0,0,0,103217,0,0,0,0,0,0,0,0,0,0,0,103217
1073,1072,768424561,168921684,2540133441,22429526,1855,494800609,178135698,140357591,40264649,450446802,8808499,80796886,6699331,95446913,0,108815211,0,4255974,824057201,2257426,3175166802
1073,1074,768424561,168921684,2540133441,22429526,1855,494800609,178135698,140357591,40264649,450446802,8808499,80796886,6699331,95446913,0,108815211,0,4255974,824057201,2257426,3175166802
1073,superSink17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139845,0,0,139845
